"MLS Number ","Close Price","Baths Full","Baths Half","Beds Total","Lot Size SqFt","Pool","Yr Built","Zip Code","Listing Contract Date","SqFt Total","DOM","Number Of Stories","Lot Size","Selling Agent Full Name","List Agent Full Name","1st Financing","Selling Office Name","List Office Name","Street Name","Street Number","Street Type"
"13162550","1150","2","0","2","","False","1984","75075","2015-06-01","1052","5","1","","Keosha N Reid","Su-Yun Yang","","Keller Williams Frisco Stars","WILLIAM DAVIS REALTY FRISCO","Devonshire","3100","Drive"
"13080922","700","1","0","1","0","True","1984","75075","2015-01-19","635","39","1","Less Than .5 Acre (not Zero)","Karen Benedict","Karen Benedict","","Fathom Realty","Fathom Realty","DEVONSHIRE","3110","Drive"
"13108744","750","1","0","1","","True","1984","75075","2015-03-11","648","14","2","Condo/Townhome Lot","Robert Wallen","Robert Wallen","","Ebby Halliday, REALTORS","Ebby Halliday, REALTORS","Amelia","1700","Court"
"13144706","800","1","0","1","","True","1984","75075","2015-05-05","746","14","1","","Magdalena Maria Roman","Karen Benedict","","Keller Williams Realty DPR","Fathom Realty","Devonshire","3110","Drive"
"13127829","900","1","0","1","","False","1984","75075","2015-04-19","746","24","1","Condo/Townhome Lot","James Richard Barth","Kathy Spillyards","","Keller Williams Realty Allen","Keller Williams Central","Devonshire","3140","Drive"
"13046015","910","1","0","2","0","True","1984","75075","2014-11-01","809","30","1","Less Than .5 Acre (not Zero)","Diedra Deann Cox","Darrin Pennartz","","Scottie Smith II & Associates","RE/MAX DFW Associates","Amelia","1700","Court"
"13128709","925","1","1","2","","False","1984","75075","2015-04-10","809","8","1","","Tammy Lee Scerbo","Becky Zeng","","Keller Williams Realty Allen","Henderson Real Estates","Amelia","1700","Court"
"13133491","975","1","0","1","","True","1995","75093","2015-04-18","898","11","1","","Semida Voicu","Alana Hosea","","Bamboo Realty, Inc.","CENTURY 21 Judge Fite Co.","PRESTON","2601","Road"
"13249837","995","1","0","1","","True","2006","75093","2015-09-30","756","62","1","","Doris Ackerson","Doris Ackerson","","Keller Williams Frisco Stars","Keller Williams Frisco Stars","Preston","2601","Road"
"13171030","999","1","0","1","0","False","1995","75093","2015-06-12","761","56","2","","Saman C. Ilangasinghe","Saman C. Ilangasinghe","","Global Realty","Global Realty","Preston","2524","Road"
"13221488","1000","1","1","2","","False","1984","75075","2015-08-19","939","8","1","","Shrau Ching Lee","Shrau Ching Lee","","31 Realty, LLC","31 Realty, LLC","Amelia","1700","Court"
"13198456","1050","2","0","2","0","False","1984","75075","2015-07-18","1086","6","1","","Hsin-Min Chuang","Hsin-Min Chuang","","Fortune Realty","Fortune Realty","AMELIA","1700","Court"
"13216577","1050","1","0","1","","True","1995","75093","2015-08-16","761","87","2","","Faith Ebrahim","Janice F. Cline Epro","","Keller Williams Frisco Stars","Lone Dove Realty","Preston","2524","Road"
"13097811","1075","1","0","1","","True","1995","75093","2015-02-17","1030","32","1","","Moshood O. Akere","Karl Morold","","Targetcost Realty","RE/MAX DFW Associates","Preston","2524","Road"
"13139055","1075","1","0","2","","True","1982","75075","2015-04-27","853","65","2","Less Than .5 Acre (not Zero)","Carmen Arif","Shirley D. Parker Gri","","Carmen Arif","Halo Group Realty, LLC","Townbluff","3101","Drive"
"13084592","1100","1","0","1","","False","1995","75093","2015-01-26","761","58","1","Less Than .5 Acre (not Zero)","Patricia S. Raglin","Roy George Plat Abr","","Ebby Halliday, REALTORS","Plat Realty","Preston","2524","Road"
"13089784","1150","2","0","3","","False","1984","75075","2015-02-04","1480","24","1","Less Than .5 Acre (not Zero)","Rod Capili, Gri","Susan Richardson","","Reology Group, LLC.","CENTURY 21 Posey Properties","UPSHIRE","3207",""
"13063217","1200","2","0","2","","False","1982","75075","2014-12-08","919","141","1","","Everett M. Shell Srs","J.C. Posey","","Ivy League Realty","Posey Property Management,Inc","Townbluff","3101","Drive"
"13093361","1200","2","0","2","","True","1984","75075","2015-02-11","975","23","1","","Christopher Sneed","Karen Benedict","","Keller Williams Rockwall","Fathom Realty","Devonshire","3100","Drive"
"13136562","1250","2","0","2","","True","1995","75093","2015-04-23","1279","28","2","","Prerna Handa","Prerna Handa","","Ambiance Realty","Ambiance Realty","Preston","2524","Road"
"13166875","1250","2","0","2","","False","1984","75075","2015-06-05","1086","59","1","Condo/Townhome Lot","Benny Dinsmore","Benny Dinsmore","","Coldwell Banker Res. Frisco","Coldwell Banker Res. Frisco","Amelia","1700","Court"
"13090073","1275","2","0","3","10454.4","False","1974","75075","2015-02-04","1494","37","1","Less Than .5 Acre (not Zero)","Cheryl Libbert","Michael Slaughter","","Patton International Propertie","OmniKey Realty, LLC.","Townbluff","2718","Drive"
